address,area,city,community_name,listing_title,municipal_district,price,province,rooms,url
[二至三环]东湖高新区关山大道与南湖大道交汇处(光谷软件园对面),—102~144平米,武汉,"
					
					中建·大公馆
						","
					
					中建·大公馆
						",东湖高新区,"
							,26677,元/㎡(单价),
							
						",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2611278184.htm
[三至四环]江夏黄家湖大道地铁8号线黄家湖地铁小镇站正对面,—102~142平米,武汉,"
					
					美的君兰半岛
						","
					
					美的君兰半岛
						",江夏,"
							,13500,元/㎡(单价),
							
						",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610156290.htm
[二至三环]东湖高新区光谷一路9号,—105~136平米,武汉,"
					
					融创光谷壹号院
						","
					
					融创光谷壹号院
						",东湖高新区,"
							,30699,元/㎡(单价),
							
						",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610162152.htm
[三至四环]江夏文化大道地铁七号线大花岭站d出口,—98~120平米,武汉,"
					
					鹏湖湾
						","
					
					鹏湖湾
						",江夏,"
							,13000,元/㎡(单价),
							
						",,三居,https:http://wuhan.newhouse.fang.com/loupan/2611079016.htm
[三至四环]东西湖地铁6、7号线园博园北站地铁口(原人大会议中心),—115~232平米,武汉,"
					
					恺德信达樾景臺
						","
					
					恺德信达樾景臺
						",东西湖,"
							,19300,元/㎡(单价),
							
						",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610159178.htm
[三至四环]黄陂盘龙城经济开发区盘龙大道48号,—104~164平米,武汉,"
					
					武汉城建盘龙湾梅苑
						","
					
					武汉城建盘龙湾梅苑
						",黄陂,"
							,9430,元/㎡起(单价),
							
						",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610156220.htm
[请选择]洪山白沙洲大道与武梁路交汇处,—88~113平米,武汉,"
					
					保利·锦上
						","
					
					保利·锦上
						",洪山,"
						,价格待定,
					",,三居,https:http://wuhan.newhouse.fang.com/loupan/2610163568.htm
[内至二环]武昌二环线与和平大道交汇处理工大学旁,—115~143平米,武汉,"
					
					融侨翠隐滨江
						","
					
					融侨翠隐滨江
						",武昌,"
						,价格待定,
					",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610154948.htm
[二至三环]硚口长丰大道与古田二路交叉口,—99~140平米,武汉,"
					
					龙湖·揽境
						","
					
					龙湖·揽境
						",硚口,"
							,16500,元/㎡(单价),
							
						",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610154716.htm
[二至三环]洪山团结大道与三弓路交汇处(4号线园林路e出口直行100米),—111~141平米,武汉,"
					
					东湖ONE
						","
					
					东湖ONE
						",洪山,"
						,价格待定,
					",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610163472.htm
[二至三环]汉阳汉阳大道孟家铺地铁站b出口,—90~140平米,武汉,"
					
					保利星河九洲(青年荣耀)
						","
					
					保利星河九洲(青年荣耀)
						",汉阳,"
							,9800,元/㎡(单价),
							
						",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610161826.htm
[二至三环]江岸解放大道新荣客运站旁,—116~143平米,武汉,"
					
					龙湖清能天曜
						","
					
					龙湖清能天曜
						",江岸,"
							,25200,元/㎡(单价),
							
						",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610162160.htm
[二至三环]洪山白沙心,—106~143平米,武汉,"
					
					龙湖·天璞
						","
					
					龙湖·天璞
						",洪山,"
							,22000,元/㎡(单价),
							
						",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610162260.htm
[二至三环]东湖高新区高新二路与光谷大道交汇处,—110~170平米,武汉,"
					
					旭辉千山凌云
						","
					
					旭辉千山凌云
						",东湖高新区,"
							,26000,元/㎡(单价),
							
						",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610156184.htm
[三至四环]东西湖革新大道与八方路交汇处,—78~104平米,武汉,"
					
					保利清能拾光年
						","
					
					保利清能拾光年
						",东西湖,"
							,10500,元/㎡(单价),
							
						",,二居/三居,https:http://wuhan.newhouse.fang.com/loupan/2610161836.htm
[内至二环]武昌和平大道团结路交汇处,,武汉,"
					
					滨江天街 铂金岛
						","
					
					滨江天街 铂金岛
						",武昌,"
							,15500,元/㎡(单价),
							
						",,,https:http://wuhan.newhouse.fang.com/loupan/2610159084.htm
[内至二环]江汉淮海路与青年路交汇处(江汉区国税局旁),,武汉,"
					
					华发西北湖中心
						","
					
					华发西北湖中心
						",江汉,"
							,13000,元/㎡(单价),
							
						",,,https:http://wuhan.newhouse.fang.com/loupan/2610163582.htm
[二至三环]武昌临江大道与紫都路交汇处(武金堤路上唯一红绿灯处转弯即到),—109~141平米,武汉,"
					
					国铁·印江澜
						","
					
					国铁·印江澜
						",武昌,"
							,24163,元/㎡(单价),
							
						",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610162158.htm
[内环以内]江汉民权路189号(六渡桥铜人像旁),—127~180平米,武汉,"
					
					武汉江城府
						","
					
					武汉江城府
						",江汉,"
						,价格待定,
					",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610163718.htm
[三至四环]江夏黄家湖南岸·黄家湖大道·近地铁8号线,—90~120平米,武汉,"
					
					万科保利联投理想星光
						","
					
					万科保利联投理想星光
						",江夏,"
							,12900,元/㎡(单价),
							
						",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610155150.htm
[内至二环]江汉青年路地铁站d出入口旁,—197~238平米,武汉,"
					
					武汉城建·中央云城
						","
					
					武汉城建·中央云城
						",江汉,"
							,45000,元/㎡(单价),
							
						",,四居,https:http://wuhan.newhouse.fang.com/loupan/2610162146.htm
[内至二环]武昌解放路与保安街交汇处,—98~195平米,武汉,"
					
					信达·新外滩
						","
					
					信达·新外滩
						",武昌,"
							,28500,元/㎡(单价),
							
						",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610163482.htm
[二至三环]洪山杨春湖城市湿地公园内,—97~132平米,武汉,"
					
					楚天都市春水行云
						","
					
					楚天都市春水行云
						",洪山,"
							,13500,元/㎡(单价),
							
						",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610162030.htm
[内至二环]江岸二七滨江商务区(解放大道与徐新路交汇处),—130~141平米,武汉,"
					
					保利天珺
						","
					
					保利天珺
						",江岸,"
							,42000,元/㎡起(单价),
							
						",,三居,https:http://wuhan.newhouse.fang.com/loupan/2610163564.htm
[二至三环]汉阳方岛|四新大道与芳草路交汇处,—108~180平米,武汉,"
					
					方岛金茂智慧科学城
						","
					
					方岛金茂智慧科学城
						",汉阳,"
							,19000,元/㎡(单价),
							
						",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610156962.htm
[三至四环]洪山青菱大道与杨林二路交会处,—76~112平米,武汉,"
					
					大华公园城市
						","
					
					大华公园城市
						",洪山,"
							,10000,元/㎡起(单价),
							
						",,二居/三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610159248.htm
[二至三环]汉阳晴川大道与两湖路交汇处,—140~243平米,武汉,"
					
					滨江金茂府
						","
					
					滨江金茂府
						",汉阳,"
							,27000,元/㎡(单价),
							
						",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610154720.htm
[二至三环]洪山南湖武梁路(长虹中学旁),—103~131平米,武汉,"
					
					天地雅园
						","
					
					天地雅园
						",洪山,"
							,18000,元/㎡(单价),
							
						",,三居,https:http://wuhan.newhouse.fang.com/loupan/2610156166.htm
[三至四环]东湖高新区东湖高新新技术开发区橡树路1号(枫叶国际学校旁),—125~249平米,武汉,"
					
					城投光谷香恋
						","
					
					城投光谷香恋
						",东湖高新区,"
							,23000,元/㎡(单价),
							
						",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610158938.htm
[外环以外]武汉周边光谷东·高新大道·春风路与学府路交汇处(图书馆旁),—89~184平米,武汉,"
					
					葛店建投金地博雅园
						","
					
					葛店建投金地博雅园
						",武汉周边,"
							,7300,元/㎡(单价),
							
						",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610163376.htm
[二至三环]汉阳长江主轴·汉阳滨江公园旁(汉阳区老关路与拦江堤路交汇处),—127~136平米,武汉,"
					
					中国电建地产·洺悦江湾
						","
					
					中国电建地产·洺悦江湾
						",汉阳,"
							,18000,元/㎡(单价),
							
						",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610155994.htm
[三至四环]黄陂长江新城 地铁21号线高车站b出口200米处,—96~144平米,武汉,"
					
					天纵时代天樾
						","
					
					天纵时代天樾
						",黄陂,"
							,12657,元/㎡(单价),
							
						",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610156544.htm
[三至四环]黄陂盘龙城巨龙大道90号,—83~175平米,武汉,"
					
					武汉城建天汇龙城
						","
					
					武汉城建天汇龙城
						",黄陂,"
							,9299,元/㎡起(单价),
							
						",,二居/三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2611153500.htm
[二至三环]汉阳晴川大道与四新南路交叉口西100米,—129~227平米,武汉,"
					
					绿城金地凤起听澜
						","
					
					绿城金地凤起听澜
						",汉阳,"
							,20000,元/㎡起(单价),
							
						",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610156096.htm
[三至四环]洪山武昌南青菱西岸南郊路与杨林三路交汇处,—90~126平米,武汉,"
					
					万科保利理想城市
						","
					
					万科保利理想城市
						",洪山,"
							,12000,元/㎡(单价),
							
						",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610156230.htm
[三至四环]江夏黄家湖南岸豹子山公园旁,—92~113平米,武汉,"
					
					保利时光印象
						","
					
					保利时光印象
						",江夏,"
							,12700,元/㎡(单价),
							
						",,三居,https:http://wuhan.newhouse.fang.com/loupan/2610156952.htm
[二至三环]洪山杨春湖路30号,—93~113平米,武汉,"
					
					万科东湖堤白
						","
					
					万科东湖堤白
						",洪山,"
							,22000,元/㎡(单价),
							
						",,三居,https:http://wuhan.newhouse.fang.com/loupan/2610159024.htm
[二至三环]硚口中国·武汉·园博大道,—92~133平米,武汉,"
					
					万科华生公园大道
						","
					
					万科华生公园大道
						",硚口,"
							,16500,元/㎡(单价),
							
						",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610156830.htm
[三至四环]东西湖金南二路以东、园博园北路以北,—128~180平米,武汉,"
					
					恒基旭辉铂悦园著
						","
					
					恒基旭辉铂悦园著
						",东西湖,"
							,22000,元/㎡(单价),
							
						",,三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2610159146.htm
[二至三环]硚口解放大道与丰帆路交汇北侧,—94~112平米,武汉,"
					
					万科华生·星耀大道
						","
					
					万科华生·星耀大道
						",硚口,"
							,17000,元/㎡(单价),
							
						",,三居,https:http://wuhan.newhouse.fang.com/loupan/2610161820.htm
[二至三环]汉阳四新南路与鄂渚路交汇处,—86~133平米,武汉,"
					
					城投融创国博城
						","
					
					城投融创国博城
						",汉阳,"
							,15500,元/㎡(单价),
							
						",,二居/三居/四居,https:http://wuhan.newhouse.fang.com/loupan/2611098852.htm
